"ResFreq [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
270,338.75,1.34137641403941,4.79473276019698
270,339.375,1.35085676950945,4.94541536471968
270,340,1.35962333970768,5.09449818557937
270,340.625,1.36775092801122,5.2419889776056
270,341.25,1.375304492328,5.38790126495214
270,341.875,1.38234067901485,5.53225315244256
270,342.5,1.38890908378078,5.67506637502277
270,343.125,1.39505329342551,5.81636553514325
270,343.75,1.40081175072253,5.95617748933398
270,344.375,1.40621847585393,6.09453085385632
270,345,1.41130367090944,6.23145560585733
270,345.625,1.41609422859797,6.36698276144406
270,346.25,1.42061416212981,6.50114411593335
270,346.875,1.42488496994173,6.63397203451291
270,347.5,1.42892594635258,6.76549928391068
270,348.125,1.43275444719798,6.8957588976248
270,348.75,1.4363861178786,7.02478406903363
270,349.375,1.43983508996315,7.15260806853497
270,350,1.44311415140951,7.27926418302556
270,350.625,1.44623489447872,7.40478567868653
270,351.25,1.44920784435045,7.52920579082954
270,351.875,1.45204257015225,7.65255774576834
270,352.5,1.45474777864926,7.77487481536435
270,353.125,1.45733138990777,7.89619039005071
270,353.75,1.459800595414,8.01653803201095
270,354.375,1.46216190357575,8.13595145665632
270,355,1.46442118268043,8.25446442189845
270,355.625,1.46658371007399,8.37211058076255
270,356.25,1.46865422573677,8.48892339626143
270,356.875,1.47063697914799,8.60493615794618
270,357.5,1.47253576188831,8.72018204326445
270,358.125,1.47435392865989,8.83469415127185
270,358.75,1.47609441303265,8.94850549123885
270,359.375,1.47775974067392,9.06164894553044
270,360,1.47935203944037,9.17415721950134
270,360.625,1.48087304537306,9.28606277322157
270,361.25,1.48232410461679,9.39739772229522
270,361.875,1.4837061719589,9.50819369608203
270,362.5,1.48501980682128,9.61848164412404
270,363.125,1.48626516746546,9.72829158234914
270,363.75,1.48744200413472,9.83765226974382
270,364.375,1.48854965193911,9.94659080457146
270,365,1.48958702448844,10.0551321275844
270,365.625,1.49055260957412,10.1632984184683
270,366.25,1.49144446857855,10.2711083712818
270,366.875,1.49226024174226,10.3785763352391
270,367.5,1.4929971619342,10.48571130928
270,368.125,1.49365208013458,10.5925157830333
270,368.75,1.49422150642076,10.6989844237417
270,369.375,1.49470167079196,10.8051026192784
270,370,1.49508860859612,10.9108449024218
270,370.625,1.49537827551099,11.01617330182
270,371.25,1.49556669682268,11.1210356910134
270,371.875,1.49565015493606,11.225364238314
270,372.5,1.49562541741619,11.3290740960001
270,373.125,1.49549000517136,11.4320625043995
270,373.75,1.49524249647001,11.5342085201833
270,374.375,1.49488285728858,11.6353736014864
270,375,1.49441278218482,11.7354032860685
280,125,1.39928233803449,1.67826744043974
280,125.625,1.40752367756751,1.76949686039523
280,126.25,1.41492883927785,1.86055943685699
280,126.875,1.42161790932356,1.95144674995439
280,127.5,1.42768915669785,2.04215326416993
280,128.125,1.43322374733161,2.13267567999762
280,128.75,1.43828929225274,2.22301244839336
280,129.375,1.44294255141269,2.31316340260175
280,130,1.4472315176872,2.40312947582044
280,130.625,1.45119704009942,2.49291248245922
280,131.25,1.45487410048938,2.58251494708266
280,131.875,1.45829282670723,2.6719399695034
280,132.5,1.46147930347081,2.76119111756504
280,133.125,1.46445622637972,2.85027234133592
280,133.75,1.46724343328337,2.93918790400623
280,134.375,1.46985833895768,3.02794232592319
280,135,1.47231629296648,3.11654033904033
280,135.625,1.47463087605755,3.2049868496807
280,136.25,1.47681414704233,3.29328690798288
280,136.875,1.47887684953011,3.38144568275214
280,137.5,1.48082858591817,3.46946844071016
280,138.125,1.48267796452213,3.55736052934366
280,138.75,1.48443272455484,3.64512736271381
280,139.375,1.48609984274323,3.7327744097135
280,140,1.48768562465042,3.8203071843579
280,140.625,1.48919578319936,3.90773123777197
280,141.25,1.49063550643994,3.99505215159995
280,141.875,1.49200951623777,4.08227553261167
280,142.5,1.4933221192706,4.16940700832
280,143.125,1.49457725148203,4.25645222345591
280,143.75,1.49577851695007,4.34341683717366
280,144.375,1.49692922197123,4.43030652087982
280,145,1.49803240503277,4.51712695659724
280,145.625,1.49909086323954,4.60388383578947
280,146.25,1.50010717567467,4.69058285858266
280,146.875,1.5010837241008,4.77722973333229
280,147.5,1.50202271134789,4.8638301764896
280,148.125,1.50292617768357,4.95038991272999
280,148.75,1.50379601541904,5.03691467531097
280,149.375,1.50463398196832,5.12341020663232
280,150,1.50544171154837,5.20988225897492
